,term,causal,coef,antonyms_opposite_coef,antonyms,antonym_source
224,couples,0,0.512,{'female': -0.595},{'female': -1.742},synonym_antonym
225,joy,1,-0.307,"{'beginning': -0.281, 'complain': -0.442, 'low': -0.542, 'hate': -0.209, 'dull': -0.796}","{'light': 0.337, 'miss': 0.409, 'lose': 0.122, 'color': 0.013, 'sadness': 0.219, 'love': 1.521, 'happiness': 0.276}",synonym_antonym
226,account,0,0.46,"{'stupidity': -1.093, 'future': -0.074, 'unhappy': -0.848, 'pack': -0.013}","{'stupidity': -1.093, 'unhappy': -0.848, 'pack': -0.013}",synonym_antonym
227,themes,0,0.459,"{'finish': -1.526, 'female': -0.595}","{'respect': -0.598, 'finish': -0.786, 'female': -1.742}",synonym_antonym
228,knew,0,-0.396,{},"{'take': 0.241, 'welcome': 0.018}",synonym_antonym
229,spice,0,0.321,{'dull': -0.796},{'dull': -1.066},antonym
230,you,0,0.394,{},{'conventional': 0.0},oov_antonym
231,friends,0,0.363,{'worst': -2.535},{'worst': -1.792},antonym
232,forget,0,-1.009,"{'remember': -0.535, 'improvement': -0.478}","{'attention': 0.346, 'include': 0.228}",antonym
233,hits,0,0.772,"{'lack': -0.779, 'connect': -0.165, 'sit': -0.369, 'adult': -0.236, 'let': -1.028, 'dull': -0.796, 'kind': -0.584, 'single': -0.054, 'short': -0.125, 'hold': -1.188, 'middle': -0.406, 'free': -1.484, 'push': -0.752, 'low': -0.542, 'high': -0.232, 'common': -0.383, 'rough': -0.822, 'better': -0.308}","{'work': -0.071, 'fair': -0.99, 'open': -0.062, 'lack': -0.328, 'connect': -0.406, 'adult': -0.674, 'engage': -0.058, 'let': -0.665, 'dull': -1.066, 'kind': -0.443, 'single': -0.469, 'short': -0.226, 'hold': -0.39, 'fill': -0.485, 'charge': -0.497, 'middle': -0.304, 'go': -0.151, 'free': -1.085, 'push': -0.752, 'low': -0.214, 'high': -0.298, 'common': -0.212, 'familiar': -0.519, 'rough': -0.247, 'better': -0.291}",synonym_antonym
234,prepared,0,-0.291,{'follow': -0.047},{'cross': 0.747},antonym
235,effect,0,-0.067,"{'beginning': -0.281, 'specific': -0.712, 'death': -0.359, 'middle': -0.406, 'straight': -0.328, 'moving': -0.101, 'focus': -0.292, 'wet': -0.239, 'thin': -0.687, 'better': -0.308, 'clutter': -0.189, 'dirty': -0.524, 'dry': -0.251, 'dull': -0.796}","{'recall': 0.338, 'end': 0.821, 'death': 0.516, 'moving': 0.39, 'fall': 0.319, 'sleep': 0.208}",synonym_antonym
236,expanded,0,0.768,{},{'diversify': 0.0},oov_antonym
237,magic,1,0.093,{'content': -0.604},"{'natural': -0.072, 'content': -0.397}",synonym_antonym
238,rich,1,0.017,{'poor': -1.846},{'poor': -1.049},antonym
239,diet,0,0.145,{'rough': -0.822},{'rough': -0.247},antonym
240,taken,0,0.205,{'explicit': -0.091},{'explicit': -0.011},synonym_antonym
241,giving,0,-0.169,{'immature': -0.846},{'best': 0.525},synonym_antonym
242,weekend,0,1.107,"{'beginning': -0.281, 'middle': -0.406, 'please': -0.285, 'dull': -0.796, 'bright': -0.017}","{'beginning': -0.085, 'middle': -0.304, 'please': -0.431, 'dark': -0.465, 'dull': -1.066, 'bright': -0.017}",synonym_antonym
243,killer,0,-0.569,"{'adult': -0.236, 'female': -0.595, 'juvenile': -1.37}",{},empty
244,collection,0,0.059,"{'juvenile': -1.37, 'female': -0.595, 'straight': -0.328, 'slow': -0.355, 'sit': -0.369, 'girl': -1.146, 'lack': -0.779, 'finish': -1.526, 'living': -0.493, 'dead': -0.189, 'type': -0.246, 'back': -0.275, 'middle': -0.406, 'push': -0.752, 'buy': -0.421}","{'woman': -0.213, 'juvenile': -1.104, 'female': -1.742, 'straight': -0.398, 'slow': -1.023, 'male': -0.344, 'girl': -0.192, 'lack': -0.328, 'finish': -0.786, 'pull': -0.049, 'loss': -0.304, 'type': -0.391, 'middle': -0.304, 'push': -0.752, 'respect': -0.598, 'partial': -0.373, 'go': -0.151, 'buy': -0.115, 'forget': -1.009}",synonym_antonym
245,delightful,1,0.631,{'ugly': -1.081},{'ugly': -1.081},synonym_antonym
246,program,0,0.754,"{'back': -0.275, 'left': -0.899, 'worst': -2.535}","{'left': -0.593, 'worst': -1.792}",synonym_antonym
247,crazy,0,-0.033,"{'healthy': -0.103, 'fit': -0.095, 'reasonable': -0.014}","{'healthy': 1.074, 'well': 0.646, 'fit': 0.219}",synonym_antonym
248,directions,0,0.512,"{'tense': -0.545, 'thin': -0.687, 'sell': -0.957}","{'tense': -0.848, 'pull': -0.049, 'thin': -0.416}",synonym_antonym
249,memories,0,0.271,{'stupidity': -1.093},"{'forget': -1.009, 'stupidity': -1.093}",synonym_antonym
250,rooting,0,0.749,"{'development': -0.015, 'activity': -0.375}","{'development': -0.471, 'activity': -0.375}",synonym_antonym
251,engaging,1,0.271,{'ugly': -1.081},{'ugly': -1.081},synonym_antonym
252,wondering,0,-0.284,{'sound': -0.266},{'answer': 0.183},antonym
253,cute,1,0.663,{'dull': -0.796},{'dull': -1.066},synonym_antonym
254,originally,1,0.744,{'middle': -0.406},{'middle': -0.304},antonym
255,lovely,1,0.757,{'ugly': -1.081},{'ugly': -1.081},antonym
256,eye,0,-0.077,"{'free': -1.484, 'back': -0.275, 'follow': -0.047, 'soul': -0.711, 'finish': -1.526}",{'front': 0.219},antonym
257,finding,0,0.059,"{'here': -0.766, 'activity': -0.375, 'middle': -0.406, 'there': -0.164, 'south': -0.552}","{'continuation': -0.293, 'activity': -0.375, 'middle': -0.304, 'difference': -0.063, 'south': -0.552, 'break': -0.172}",synonym_antonym
258,marie,0,0.037,{},{'flatter': 0.0},oov_antonym
259,shared,0,0.736,{},{'separate': 0.0},oov_antonym
260,children,0,-0.024,"{'adult': -0.236, 'serious': -0.019}",{'wise': 0.353},antonym
261,works,0,0.359,"{'moving': -0.101, 'sound': -0.266}",{'sound': -0.208},antonym
262,yes,0,0.811,"{'no': -1.088, 'negative': -0.25}","{'no': -1.045, 'negative': -0.164}",antonym
263,realistic,1,0.46,{'unrealistic': -1.217},"{'unreal': -0.494, 'unrealistic': -0.852, 'impossible': -0.521}",antonym
264,age,0,-0.735,{'immature': -0.846},{'mature': 0.17},antonym
265,likeable,1,1.335,{},{'disliked': -0.585},antonym
266,add,0,0.412,"{'juvenile': -1.37, 'female': -0.595, 'slow': -0.355, 'lack': -0.779}","{'natural': -0.072, 'break': -0.172, 'juvenile': -1.104, 'female': -1.742, 'slow': -1.023, 'lack': -0.328, 'pull': -0.049}",synonym_antonym
267,humanity,0,-0.467,{},{'inhumaneness': 0.0},oov_antonym
268,mate,0,0.794,"{'wife': -0.462, 'sit': -0.369, 'hate': -0.209, 'pack': -0.013, 'sell': -0.957, 'lack': -0.779, 'better': -0.308, 'juvenile': -1.37}","{'stand': -0.849, 'charge': -0.497, 'hate': -0.71, 'pack': -0.013, 'moral': -0.289, 'lack': -0.328, 'better': -0.291, 'juvenile': -1.104}",synonym_antonym
269,college,0,0.061,{'thin': -0.687},{'thin': -0.416},antonym
270,bond,0,-0.204,{},{'ability': 0.153},synonym_antonym
271,touches,0,0.719,"{'lack': -0.779, 'sell': -0.957, 'connect': -0.165, 'man': -0.292, 'past': -0.031, 'future': -0.074, 'original': -0.231, 'activity': -0.375, 'rush': -1.098}","{'lack': -0.328, 'connect': -0.406, 'man': -0.3, 'original': -0.232, 'activity': -0.375}",synonym_antonym
272,learned,0,0.627,{},{'unscholarly': 0.0},oov_antonym
273,damn,0,-0.14,{},{'blessed': 0.493},antonym
274,nick,0,0.714,"{'bad': -0.129, 'dull': -0.796, 'kind': -0.584, 'focus': -0.292, 'wet': -0.239, 'appear': -0.028}","{'bad': -0.784, 'dull': -1.066, 'kind': -0.443, 'focus': -0.292, 'wet': -0.239, 'appear': -0.028}",synonym_antonym
275,animal,0,-0.187,{'female': -0.595},"{'black': 0.023, 'recall': 0.338, 'ride': 0.982, 'strong': 1.115, 'follow': 0.39, 'best': 0.525, 'secondary': 0.16}",synonym_antonym
276,mysteries,0,0.234,{},{'overt': 0.0},oov_antonym
277,addition,0,0.517,"{'beginning': -0.281, 'middle': -0.406, 'short': -0.125, 'connect': -0.165, 'give': -0.422}","{'beginning': -0.085, 'middle': -0.304, 'short': -0.226, 'connect': -0.406, 'give': -0.209}",synonym_antonym
278,safety,0,0.709,"{'weak': -1.856, 'evil': -0.093, 'death': -0.359, 'improvement': -0.478, 'war': -0.804}",{'little': -0.175},antonym
279,resource,0,0.428,"{'dead': -0.189, 'dull': -0.796, 'strength': -0.538}",{'admit': -0.364},antonym
280,fictional,0,0.092,{'real': -0.155},"{'real': -0.211, 'natural': -0.072}",antonym
281,sad,1,-0.054,{'better': -0.308},"{'glad': 0.336, 'best': 0.525}",antonym
282,insight,1,0.247,{'figure': -0.066},{'stay': 0.0},oov_antonym
283,delivers,0,0.143,"{'high': -0.232, 'past': -0.031, 'future': -0.074}","{'high': -0.298, 'open': -0.062}",synonym_antonym
284,contact,0,-0.038,{},{'soothe': 0.0},oov_antonym
285,totally,0,0.455,"{'no': -1.088, 'incomplete': -1.447}","{'no': -1.045, 'incomplete': -1.489}",antonym
286,truly,0,-0.089,{'unrealistic': -1.217},{'insincerely': 0.0},oov_antonym
287,waiting,0,0.749,{},"{'continue': -0.105, 'activity': -0.375, 'beginning': -0.085}",synonym_antonym
288,created,0,0.532,"{'beginning': -0.281, 'middle': -0.406, 'slow': -0.355, 'level': -0.413, 'standard': -1.262, 'follow': -0.047, 'lack': -0.779, 'focus': -0.292, 'wet': -0.239, 'finish': -1.526, 'head': -0.022, 'lost': -1.438, 'mother': -1.257, 'pass': -0.311, 'better': -0.308, 'rush': -1.098, 'type': -0.246, 'sell': -0.957, 'positive': -1.332, 'rough': -0.822, 'organized': -0.161, 'leave': -0.173, 'push': -0.752}","{'go': -0.151, 'beginning': -0.085, 'middle': -0.304, 'slow': -1.023, 'level': -0.225, 'standard': -0.799, 'lack': -0.328, 'focus': -0.292, 'wet': -0.239, 'break': -0.172, 'finish': -0.786, 'lost': -0.782, 'forget': -1.009, 'pass': -0.948, 'better': -0.291, 'background': -0.625, 'type': -0.391, 'positive': -0.419, 'rough': -0.247, 'father': -0.872, 'leave': -0.562, 'push': -0.752, 'pull': -0.049, 'die': -0.366}",synonym_antonym
289,plus,0,0.689,{'negative': -0.25},{'negative': -0.164},synonym_antonym
290,set,0,0.511,"{'give': -0.422, 'back': -0.275, 'left': -0.899, 'standard': -1.262, 'sit': -0.369, 'free': -1.484, 'activity': -0.375, 'follow': -0.047, 'more': -0.291, 'short': -0.125, 'level': -0.413, 'appear': -0.028, 'slow': -0.355, 'dirty': -0.524, 'moving': -0.101}","{'stand': -0.849, 'give': -0.209, 'left': -0.593, 'standard': -0.799, 'pull': -0.049, 'free': -1.085, 'activity': -0.375, 'go': -0.151, 'more': -0.033, 'short': -0.226, 'open': -0.062, 'level': -0.225, 'appear': -0.028, 'slow': -1.023, 'continue': -0.105, 'break': -0.172, 'dirty': -0.056, 'heavy': -0.313}",synonym_antonym
291,end,0,0.821,{'better': -0.308},"{'continue': -0.105, 'better': -0.291}",antonym
292,trilogy,0,0.745,{'single': -0.054},{'single': -0.469},antonym
293,useful,1,0.849,{'useless': -0.99},{'useless': -0.636},antonym
294,cake,0,-0.373,{'man': -0.292},{'order': 0.377},antonym
295,happiness,1,0.276,{'unhappy': -0.848},{'unhappy': -0.848},antonym
296,fight,0,0.09,"{'please': -0.285, 'dirty': -0.524, 'agree': -0.475, 'push': -0.752, 'finish': -1.526, 'friend': -0.397, 'follow': -0.047, 'let': -1.028}","{'please': -0.431, 'dirty': -0.056, 'push': -0.752, 'finish': -0.786, 'let': -0.665, 'charge': -0.497}",synonym_antonym
297,brings,0,0.295,"{'pack': -0.013, 'leave': -0.173, 'focus': -0.292, 'rush': -1.098, 'sell': -0.957, 'download': -0.382}",{'go': -0.151},antonym
298,lasted,0,0.679,{'future': -0.074},"{'modern': -0.25, 'young': -0.595}",synonym_antonym
299,cried,0,0.891,"{'slow': -0.355, 'hold': -1.188, 'low': -0.542, 'high': -0.232}",{'broken': -0.032},antonym
300,knowing,0,0.906,{},{'uninformed': 0.0},oov_antonym
301,reaching,0,0.676,{'leave': -0.173},{'leave': -0.562},antonym
302,spin,0,0.297,{'low': -0.542},"{'low': -0.214, 'die': -0.366, 'engage': -0.058}",synonym_antonym
303,spot,0,0.427,"{'short': -0.125, 'back': -0.275, 'left': -0.899, 'better': -0.308, 'unhappy': -0.848, 'lost': -1.438, 'follow': -0.047, 'level': -0.413, 'loose': -0.344, 'low': -0.542}","{'short': -0.226, 'left': -0.593, 'better': -0.291, 'unhappy': -0.848, 'lost': -0.782, 'minimum': -0.36, 'continue': -0.105, 'level': -0.225, 'generous': -0.599, 'low': -0.214}",synonym_antonym
304,balance,0,-0.155,{'improvement': -0.478},{'safety': 0.709},synonym_antonym
305,hilarious,1,-0.45,{'soft': -0.189},{'quiet': 0.379},antonym
306,heartbreaking,1,0.67,{},{'joyful': 0.0},oov_antonym
307,reminds,0,0.007,{'give': -0.422},"{'forget': -1.009, 'give': -0.209}",antonym
308,offers,0,-0.094,{'particular': -0.564},{'particular': 0.194},antonym
309,page,0,0.649,"{'majority': -0.372, 'soft': -0.189, 'follow': -0.047}","{'majority': -0.372, 'soft': -0.189}",synonym_antonym
310,thrill,1,0.669,"{'buy': -0.421, 'back': -0.275, 'follow': -0.047, 'rush': -1.098}",{'afraid': -0.064},antonym
311,wide,0,0.668,"{'thin': -0.687, 'high': -0.232}","{'thin': -0.416, 'high': -0.298}",antonym
312,heat,0,0.641,{'dead': -0.189},{'awaken': 0.0},oov_antonym
313,start,0,0.329,"{'sell': -0.957, 'leave': -0.173}","{'leave': -0.562, 'avoid': -0.014, 'break': -0.172}",synonym_antonym
314,raw,0,0.097,{'hard': -0.485},"{'hard': -0.618, 'old': -0.326}",antonym
315,fear,0,0.342,"{'let': -1.028, 'hate': -0.209}",{'afraid': -0.064},antonym
316,lose,0,0.122,{},{'keep': 0.0},oov_antonym
317,search,0,0.21,"{'worst': -2.535, 'lack': -0.779}","{'worst': -1.792, 'lack': -0.328, 'respect': -0.598}",synonym_antonym
318,stopping,0,0.656,"{'juvenile': -1.37, 'rush': -1.098}",{'juvenile': -1.104},synonym_antonym
319,twin,0,0.656,{},{'absolute': -0.098},synonym_antonym
320,fighting,0,0.436,"{'dirty': -0.524, 'back': -0.275, 'agree': -0.475, 'push': -0.752, 'please': -0.285, 'friend': -0.397, 'soft': -0.189}","{'dirty': -0.056, 'push': -0.752, 'please': -0.431, 'little': -0.175, 'small': -0.721, 'soft': -0.189, 'come': -0.091}",synonym_antonym
321,correct,1,0.653,"{'thin': -0.687, 'better': -0.308}","{'thin': -0.416, 'better': -0.291, 'break': -0.172}",synonym_antonym
322,dark,0,-0.465,"{'dead': -0.189, 'sound': -0.266}","{'light': 0.337, 'stay': 0.399}",antonym
323,detailed,0,1.001,{},{'plain': -0.167},synonym_antonym
324,makes,0,0.466,{},{'mind': -0.119},synonym_antonym
325,action,0,0.668,"{'death': -0.359, 'middle': -0.406, 'activity': -0.375, 'goodness': -0.21, 'finish': -1.526, 'liking': -0.611, 'juvenile': -1.37, 'sell': -0.957, 'ugly': -1.081, 'beginning': -0.281, 'focus': -0.292, 'wet': -0.239, 'thin': -0.687, 'better': -0.308, 'clutter': -0.189, 'dirty': -0.524, 'dry': -0.251, 'dull': -0.796, 'give': -0.422}","{'avoid': -0.014, 'middle': -0.304, 'activity': -0.375, 'goodness': -0.321, 'moral': -0.289, 'finish': -0.786, 'liking': -0.453, 'juvenile': -1.104, 'pull': -0.049, 'go': -0.151, 'ugly': -1.081, 'continuation': -0.293, 'beginning': -0.085, 'give': -0.209}",synonym_antonym
326,introduced,0,-0.211,{'sit': -0.369},"{'sit': 0.225, 'professional': 0.46}",antonym
327,filled,0,-0.032,{},{'light': 0.337},synonym_antonym
328,formulaic,0,-0.35,{'original': -0.231},{'unconventional': 0.0},oov_antonym
329,open,0,-0.062,"{'give': -0.422, 'make': -0.384}",{'close': 1.103},antonym
330,guessing,0,0.544,{'level': -0.413},"{'continue': -0.105, 'level': -0.225, 'break': -0.172}",synonym_antonym
331,discover,0,0.64,"{'level': -0.413, 'medical': -0.105}",{'level': -0.225},synonym_antonym
332,each,0,0.105,"{'incomplete': -1.447, 'several': -0.25, 'any': -0.47, 'whatsoever': -0.412}","{'incomplete': -1.489, 'several': -0.214, 'any': -0.157, 'whatsoever': -0.281}",antonym
333,survive,0,0.418,"{'level': -0.413, 'future': -0.074, 'agree': -0.475, 'follow': -0.047, 'rush': -1.098}","{'level': -0.225, 'go': -0.151}",synonym_antonym
334,case,0,-0.141,{'black': -0.144},{'black': 0.023},antonym
335,opened,0,0.637,{'thin': -0.687},{'thin': -0.416},antonym
336,sub,0,0.253,{'focus': -0.292},{'focus': -0.292},antonym
337,tension,0,0.135,{'improvement': -0.478},{'improvement': -0.478},antonym
338,lady,0,-0.349,{'man': -0.292},{'husband': 0.406},synonym_antonym
339,grow,0,0.289,{'death': -0.359},{'stay': 0.0},oov_antonym
340,historical,1,0.22,{'current': -0.631},{'unreal': -0.494},antonym
341,grows,0,0.628,{'death': -0.359},{'stay': 0.0},oov_antonym
342,family,0,0.588,"{'single': -0.054, 'finish': -1.526}","{'single': -0.469, 'finish': -0.786, 'ending': -0.219}",synonym_antonym
343,kids,0,0.512,"{'adult': -0.236, 'major': -0.246}",{'adult': -0.674},antonym
344,packed,0,0.944,{'loose': -0.344},{'uncrowded': 0.0},oov_antonym
345,often,0,1.112,"{'rarely': -0.599, 'less': -0.649}","{'rarely': -0.599, 'little': -0.175, 'less': -0.054}",antonym
346,church,0,0.063,{'thin': -0.687},{'thin': -0.416},antonym
347,loving,1,-0.008,"{'cold': -0.292, 'tough': -0.252, 'hard': -0.485, 'act': -0.25}","{'cold': 0.097, 'practical': 0.182, 'cool': 1.151, 'realistic': 0.46, 'possible': 0.064}",synonym_antonym
348,root,0,-0.287,"{'finish': -1.526, 'beginning': -0.281, 'show': -0.12}",{'child': 0.279},antonym
349,body,0,0.02,"{'move': -0.051, 'thin': -0.687, 'juvenile': -1.37, 'female': -0.595, 'black': -0.144, 'straight': -0.328, 'level': -0.413, 'beginning': -0.281, 'middle': -0.406, 'common': -0.383, 'multiple': -0.027}","{'thin': -0.416, 'woman': -0.213, 'juvenile': -1.104, 'female': -1.742, 'white': -0.2, 'straight': -0.398, 'level': -0.225, 'beginning': -0.085, 'middle': -0.304, 'common': -0.212, 'same': -0.751, 'male': -0.344, 'multiple': -0.04}",synonym_antonym
350,danger,0,0.126,{'improvement': -0.478},"{'innocence': -0.319, 'improvement': -0.478}",antonym
351,races,0,0.619,{'appear': -0.028},{'appear': -0.028},antonym
352,paced,0,1.126,{'slow': -0.355},{'slow': -1.023},antonym
353,normal,0,0.457,{},{'nonstandard': 0.0},oov_antonym
354,brie,0,0.608,{'free': -1.484},{'continue': -0.105},antonym
355,distraction,1,0.608,{},{'birth': 0.0},oov_antonym
356,doubt,0,-0.349,"{'believe': -0.089, 'evil': -0.093}","{'trust': 0.888, 'believe': 0.216, 'happiness': 0.276, 'fear': 0.342}",synonym_antonym
357,dreams,0,0.353,{'real': -0.155},{'real': -0.211},synonym_antonym
358,confidence,0,0.606,{'certain': -0.33},{'male': -0.344},synonym_antonym
359,store,0,0.72,{'sell': -0.957},"{'ugly': -1.081, 'finish': -0.786, 'left': -0.593}",synonym_antonym
360,drama,0,0.427,"{'comedy': -0.034, 'dramatic': -0.335}","{'avoid': -0.014, 'dramatic': -0.154}",synonym_antonym
361,miss,0,0.409,{'improvement': -0.478},{'improvement': -0.478},antonym
362,surprising,0,0.611,"{'expected': -0.987, 'ugly': -1.081}","{'expected': -0.983, 'ugly': -1.081}",antonym
363,sleep,0,0.208,{'lack': -0.779},"{'continue': -0.105, 'lack': -0.328}",synonym_antonym
364,bubbles,0,0.165,{'follow': -0.047},{'descent': 0.0},oov_antonym
365,passed,0,-0.584,"{'follow': -0.047, 'buy': -0.421, 'hard': -0.485, 'focus': -0.292, 'wet': -0.239, 'appear': -0.028, 'bad': -0.129}","{'appreciate': 0.192, 'gain': 0.108}",antonym
366,close,0,1.103,"{'past': -0.031, 'future': -0.074}","{'open': -0.062, 'beginning': -0.085, 'middle': -0.304, 'thin': -0.416, 'little': -0.175, 'small': -0.721, 'far': -0.333, 'off': -0.388}",synonym_antonym
367,combination,0,-0.182,{},{'disassortative mating': 0.0},oov_antonym
368,easily,1,0.16,"{'hard': -0.485, 'difficult': -0.856}","{'hard': -0.618, 'difficult': -0.478}",synonym_antonym
369,prior,0,0.594,{'back': -0.275},{'subsequent': 0.0},oov_antonym
370,heavy,0,-0.313,"{'future': -0.074, 'dry': -0.251, 'pure': -0.124, 'weak': -1.856, 'ill': -0.232, 'thin': -0.687}","{'light': 0.337, 'smart': 0.537}",antonym
371,grabbed,0,0.549,"{'free': -1.484, 'activity': -0.375, 'gross': -0.882, 'loose': -0.344, 'beginning': -0.281}",{'open': -0.062},antonym
372,asked,0,-0.109,{'pack': -0.013},"{'welcome': 0.018, 'close': 1.103, 'answer': 0.183}",synonym_antonym
373,fast,0,0.227,{'slow': -0.355},{'slow': -1.023},antonym
374,little,0,-0.175,{'big': -0.463},{'large': 0.285},antonym
375,quirky,0,0.075,{'straight': -0.328},{'straight': -0.398},antonym
376,growing,0,0.28,"{'here': -0.766, 'there': -0.164, 'development': -0.015, 'sit': -0.369, 'activity': -0.375}","{'ending': -0.219, 'development': -0.471, 'activity': -0.375}",synonym_antonym
377,draws,0,0.144,"{'push': -0.752, 'pack': -0.013}","{'push': -0.752, 'pack': -0.013}",antonym
378,covers,0,0.175,"{'move': -0.051, 'bad': -0.129, 'common': -0.383, 'dull': -0.796, 'dry': -0.251, 'invest': -0.049, 'level': -0.413, 'give': -0.422, 'better': -0.308, 'activity': -0.375, 'low': -0.542, 'back': -0.275, 'healthy': -0.103, 'follow': -0.047, 'like': -0.251, 'show': -0.12, 'specific': -0.712, 'buy': -0.421, 'leave': -0.173, 'figure': -0.066, 'black': -0.144, 'wet': -0.239}","{'small': -0.721, 'bad': -0.784, 'common': -0.212, 'dull': -1.066, 'dry': -0.306, 'young': -0.595, 'invest': -0.049, 'level': -0.225, 'break': -0.172, 'give': -0.209, 'better': -0.291, 'respect': -0.598, 'activity': -0.375, 'low': -0.214, 'stand': -0.849, 'fair': -0.99, 'specific': -0.593, 'buy': -0.115, 'generous': -0.599, 'leave': -0.562, 'white': -0.2, 'wet': -0.239}",synonym_antonym
379,natural,0,-0.072,{},"{'decent': 0.322, 'proper': 0.273, 'clean': 0.426}",synonym_antonym
380,season,0,0.428,"{'beginning': -0.281, 'middle': -0.406}","{'beginning': -0.085, 'middle': -0.304}",antonym
381,relate,0,0.502,"{'pass': -0.311, 'juvenile': -1.37, 'common': -0.383}","{'pass': -0.948, 'forget': -1.009, 'juvenile': -1.104, 'generous': -0.599, 'common': -0.212, 'same': -0.751}",synonym_antonym
382,cat,0,-0.152,{'man': -0.292},{'include': 0.228},antonym
